"filename", "language", "Python", "Ini", "CSV", "comment", "blank", "total"
"d:\Projekte\ChestBuddy\chestbuddy\ui\views\validation_tab_view.py", "Python", 125, 0, 0, 20, 41, 186
"d:\Projekte\ChestBuddy\chestbuddy\ui\views\validation_view_adapter.py", "Python", 194, 0, 0, 20, 50, 264
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\__init__.py", "Python", 22, 0, 0, 0, 4, 26
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\action_button.py", "Python", 163, 0, 0, 9, 31, 203
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\action_toolbar.py", "Python", 192, 0, 0, 11, 52, 255
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\empty_state_widget.py", "Python", 205, 0, 0, 24, 51, 280
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\filter_bar.py", "Python", 209, 0, 0, 25, 61, 295
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\progress_bar.py", "Python", 161, 0, 0, 27, 53, 241
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\progress_dialog.py", "Python", 439, 0, 0, 59, 90, 588
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\sidebar_navigation.py", "Python", 419, 0, 0, 41, 97, 557
"d:\Projekte\ChestBuddy\chestbuddy\ui\widgets\status_bar.py", "Python", 72, 0, 0, 7, 22, 101
"d:\Projekte\ChestBuddy\chestbuddy\utils\__init__.py", "Python", 14, 0, 0, 1, 5, 20
"d:\Projekte\ChestBuddy\chestbuddy\utils\background_processing.py", "Python", 467, 0, 0, 101, 133, 701
"d:\Projekte\ChestBuddy\chestbuddy\utils\config.py", "Python", 15, 0, 0, 6, 6, 27
"d:\Projekte\ChestBuddy\chestbuddy\utils\config\__init__.py", "Python", 229, 0, 0, 12, 59, 300
"d:\Projekte\ChestBuddy\chestbuddy\utils\correction\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"d:\Projekte\ChestBuddy\chestbuddy\utils\service_locator.py", "Python", 120, 0, 0, 8, 40, 168
"d:\Projekte\ChestBuddy\chestbuddy\utils\signal_manager.py", "Python", 991, 0, 0, 114, 245, 1350
"d:\Projekte\ChestBuddy\chestbuddy\utils\signal_standards.py", "Python", 128, 0, 0, 29, 43, 200
"d:\Projekte\ChestBuddy\chestbuddy\utils\signal_tracer.py", "Python", 301, 0, 0, 32, 82, 415
"d:\Projekte\ChestBuddy\chestbuddy\utils\validation\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"Total", "-", 17002, 18, 35351, 2275, 4588, 59234
